timestamp,distance,heart_rate
2019-06-23 12:11:40,0.0,123
2019-06-23 12:15:07,551221025,-889954661,250.0,250.0,1655.11,7.868,7.868,149
2019-06-23 12:15:08,551220264,-889955222,249.60000000000002,249.60000000000002,1663.06,7.951,7.951,149
2019-06-23 12:15:09,551219547,-889955790,249.79999999999995,249.79999999999995,1670.67,7.613,7.613,148
2019-06-23 12:15:10,551218879,-889956343,249.60000000000002,249.60000000000002,1677.85,7.175,7.175,148
2019-06-23 12:15:11,551218195,-889956884,249.79999999999995,249.79999999999995,1685.11,7.257,7.257,148
2019-06-23 12:15:12,551217508,-889957388,249.79999999999995,249.79999999999995,1692.29,7.178,7.178,148
2019-06-23 12:15:13,551216814,-889957949,250.60000000000002,250.60000000000002,1699.69,7.405,7.405,147
2019-06-23 12:15:14,551216084,-889958536,250.60000000000002,250.60000000000002,1707.47,7.782,7.782,147
2019-06-23 12:15:15,551215305,-889959145,250.20000000000005,250.20000000000005,1715.72,8.244,8.244,147
2019-06-23 12:15:16,551214509,-889959705,249.79999999999995,249.79999999999995,1723.96,8.245,8.245,147
2019-06-23 12:15:17,551213707,-889960288,249.79999999999995,249.79999999999995,1732.33,8.363,8.363,146
2019-06-23 12:15:18,551212875,-889960812,249.79999999999995,249.79999999999995,1740.77,8.444,8.444,146
2019-06-23 12:15:19,551212042,-889961286,249.39999999999998,249.39999999999998,1749.11,8.335,8.335,146
2019-06-23 12:15:20,551211169,-889961723,249.60000000000002,249.60000000000002,1757.71,8.601,8.601,145
2019-06-23 12:15:21,551210300,-889962204,249.39999999999998,249.39999999999998,1766.37,8.664,8.664,144
2019-06-23 12:15:22,551209489,-889962640,249.39999999999998,249.39999999999998,1774.43,8.057,8.057,143
2019-06-23 12:15:23,551208582,-889963115,249.60000000000002,249.60000000000002,1783.41,8.978,8.978,142
2019-06-23 12:15:24,551207708,-889963524,249.39999999999998,249.39999999999998,1791.96,8.552,8.552,141
2019-06-23 12:15:25,551206799,-889963892,249.20000000000005,249.20000000000005,1800.74,8.784,8.784,141
2019-06-23 12:15:26,551205910,-889964252,248.79999999999995,248.79999999999995,1809.34,8.596,8.596,140
2019-06-23 12:15:27,551205025,-889964574,248.39999999999998,248.39999999999998,1817.84,8.497,8.497,139
2019-06-23 12:15:28,551204173,-889964913,248.39999999999998,248.39999999999998,1826.06,8.223,8.223,138
2019-06-23 12:15:29,551203286,-889965211,248.39999999999998,248.39999999999998,1834.54,8.477,8.477,137
2019-06-23 12:15:30,551202356,-889965496,248.39999999999998,248.39999999999998,1843.38,8.841,8.841,136
2019-06-23 12:15:31,551201431,-889965800,248.60000000000002,248.60000000000002,1852.22,8.835,8.835,135
2019-06-23 12:15:32,551200510,-889966087,248.60000000000002,248.60000000000002,1860.98,8.762,8.762,134
2019-06-23 12:15:33,551199585,-889966364,248.79999999999995,248.79999999999995,1869.78,8.8,8.8,134
2019-06-23 12:15:34,551198700,-889966652,248.60000000000002,248.60000000000002,1878.21,8.434,8.434,134
2019-06-23 12:15:35,551197743,-889966909,248.0,248.0,1887.28,9.064,9.064,134
2019-06-23 12:15:36,551196720,-889967079,248.20000000000005,248.20000000000005,1896.86,9.579,9.579,135
2019-06-23 12:15:37,551195774,-889967267,248.60000000000002,248.60000000000002,1905.75,8.894,8.894,135
2019-06-23 12:15:38,551194854,-889967452,248.60000000000002,248.60000000000002,1914.39,8.642,8.642,135
2019-06-23 12:15:39,551193890,-889967497,248.39999999999998,248.39999999999998,1923.36,8.969,8.969,136
2019-06-23 12:15:40,551192954,-889967505,248.39999999999998,248.39999999999998,1932.08,8.717,8.717,136
2019-06-23 12:15:41,551192063,-889967512,248.60000000000002,248.60000000000002,1940.37,8.292,8.292,136
2019-06-23 12:15:42,551191165,-889967446,249.0,249.0,1948.74,8.366,8.366,137
2019-06-23 12:15:43,551190257,-889967326,248.60000000000002,248.60000000000002,1957.22,8.485,8.485,137
2019-06-23 12:15:44,551189408,-889967144,249.20000000000005,249.20000000000005,1965.21,7.989,7.989,137
2019-06-23 12:15:45,551188455,-889966999,248.79999999999995,248.79999999999995,1974.13,8.916,8.916,138
2019-06-23 12:15:46,551187546,-889966827,248.79999999999995,248.79999999999995,1982.66,8.525,8.525,138
2019-06-23 12:15:47,551186686,-889966660,249.39999999999998,249.39999999999998,1990.73,8.076,8.076,139
2019-06-23 12:15:48,551185830,-889966461,249.20000000000005,249.20000000000005,1998.81,8.074,8.074,139
2019-06-23 12:15:49,551184895,-889966218,249.0,249.0,2007.64,8.838,8.838,140
2019-06-23 12:15:50,551184049,-889965914,248.60000000000002,248.60000000000002,2015.76,8.111,8.111,140
2019-06-23 12:15:51,551183200,-889965568,249.0,249.0,2023.97,8.218,8.218,141
2019-06-23 12:15:52,551182316,-889965284,249.20000000000005,249.20000000000005,2032.4,8.424,8.424,141
2019-06-23 12:15:53,551181426,-889964986,249.0,249.0,2040.9,8.5,8.5,142
2019-06-23 12:15:54,551180457,-889964678,249.20000000000005,249.20000000000005,2050.14,9.234,9.234,142
2019-06-23 12:15:55,551179555,-889964419,249.39999999999998,249.39999999999998,2058.7,8.563,8.563,143
2019-06-23 12:15:56,551178676,-889964147,249.39999999999998,249.39999999999998,2067.07,8.367,8.367,143
2019-06-23 12:15:57,551177770,-889963823,249.60000000000002,249.60000000000002,2075.75,8.679,8.679,144
2019-06-23 12:15:58,551176971,-889963552,249.60000000000002,249.60000000000002,2083.39,7.641,7.641,144
2019-06-23 12:15:59,551176184,-889963302,249.79999999999995,249.79999999999995,2090.89,7.499,7.499,145
2019-06-23 12:16:00,551175384,-889963073,249.79999999999995,249.79999999999995,2098.48,7.588,7.588,146
2019-06-23 12:16:01,551174518,-889962715,250.20000000000005,250.20000000000005,2106.86,8.387,8.387,146
2019-06-23 12:16:02,551173640,-889962421,250.39999999999998,250.39999999999998,2115.25,8.383,8.383,147
2019-06-23 12:16:03,551172755,-889962115,250.39999999999998,250.39999999999998,2123.72,8.473,8.473,147
2019-06-23 12:16:04,551171895,-889961785,250.60000000000002,250.60000000000002,2132.0,8.283,8.283,147
2019-06-23 12:16:05,551171003,-889961463,250.60000000000002,250.60000000000002,2140.56,8.551,8.551,148
2019-06-23 12:16:06,551170104,-889961137,251.0,251.0,2149.19,8.63,8.63,148
2019-06-23 12:16:07,551169236,-889960875,250.79999999999995,250.79999999999995,2157.44,8.254,8.254,149
2019-06-23 12:16:08,551168290,-889960662,250.79999999999995,250.79999999999995,2166.35,8.911,8.911,149
2019-06-23 12:16:09,551167344,-889960500,251.0,251.0,2175.22,8.864,8.864,149
